"","x"
"1",0.242657626076438
"2",-1.40268220227913
"3",0.783920491725244
"4",0.482075566956826
"5",0
"6",0
"7",0.101778166781749
"8",0
"9",-0.00505793354845321
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0.0607041672592195
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",-0.00904611443320304
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0.0280490797358955
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0.179194514798
"63",0.0363290073109446
"64",0
"65",0
"66",0
"67",0
"68",-0.0271873479200063
"69",0
"70",0
"71",0
"72",0.0385309741558795
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",-0.0334303674833352
"85",-0.0222872909733398
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
