"","x"
"1",0.203498042563571
"2",-1.82000705877284
"3",0.919484374848824
"4",0.696891114742589
"5",0.295800830328203
"6",0.185274876285468
"7",0.0392144974133525
"8",0
"9",0
"10",0
"11",0
"12",-0.00675577246188236
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0.00128341130014478
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",-0.0249010166753091
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",-0.0125964755287957
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",-0.00192330282278936
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0.00451630109251165
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
