"","x"
"1",0.529234377857894
"2",-1.20172668940991
"3",0.506151792182429
"4",0.217437337906631
"5",0.00777061232865585
"6",0
"7",0
"8",0.0253125456097368
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0.0812174428388832
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0.0729623154304722
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",-0.0476695624869225
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0.0523296128782605
"74",0
"75",0
"76",0
"77",-0.0393173351868983
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0.0498312268543884
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
